model: yolov8l.yaml (Train8) 500 epochs
                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9558,                 4.1791,                 3.7695,                0.20543,                0.25127,                0.15189,                0.05477,                 2.2564,                 3.1449,                 3.0885,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.9537,                 2.8044,                 2.5336,                   0.37,                0.43543,                 0.3633,                0.18318,                 1.8165,                 2.2896,                 2.4987,              0.0066511,              0.0066511,              0.0066511
                      3,                 1.7507,                 2.4452,                 2.2727,                 0.3882,                0.45858,                0.39107,                0.20488,                  1.745,                    2.2,                 2.3621,               0.009958,               0.009958,               0.009958
                      4,                 1.6634,                 2.3003,                 2.1644,                0.46777,                0.50358,                0.47168,                0.24893,                 1.6629,                 2.0215,                 2.2531,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5841,                 2.1653,                 2.0798,                0.52399,                0.54004,                0.52476,                0.29156,                 1.5888,                 1.8495,                 2.1346,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5362,                 2.0724,                 2.0321,                0.58028,                0.53394,                0.55611,                0.31147,                   1.52,                 1.8008,                  2.082,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4988,                 1.9877,                 1.9858,                0.61369,                0.56322,                0.59137,                0.33671,                 1.4909,                 1.6876,                 2.0428,               0.009901,               0.009901,               0.009901
                      8,                 1.4688,                 1.9213,                 1.9534,                0.63137,                0.56292,                 0.6129,                0.36304,                 1.4403,                 1.6254,                 1.9906,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.4337,                 1.8599,                 1.9194,                0.63038,                0.58531,                0.63202,                0.38148,                 1.4029,                 1.5591,                 1.9358,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.4146,                 1.8147,                 1.9044,                0.65663,                0.60578,                0.66205,                0.40382,                 1.3871,                 1.4931,                 1.9215,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.3932,                 1.7673,                 1.8798,                0.66387,                0.61495,                0.67845,                0.42321,                 1.3335,                 1.4409,                 1.8698,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.3745,                 1.7228,                 1.8685,                0.66705,                0.64655,                0.69944,                0.44232,                 1.3126,                 1.3762,                 1.8715,               0.009802,               0.009802,               0.009802
                     13,                 1.3564,                  1.682,                 1.8477,                0.71547,                0.64201,                0.71831,                0.46473,                 1.2673,                 1.3226,                 1.8174,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.3374,                 1.6484,                 1.8331,                0.72566,                0.66355,                0.74154,                0.48511,                 1.2465,                 1.2587,                 1.7915,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.3224,                 1.6053,                 1.8116,                0.72821,                 0.6834,                0.76273,                0.50703,                 1.2111,                 1.2036,                 1.7679,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.3062,                 1.5661,                 1.7984,                  0.768,                0.69703,                0.78468,                0.52585,                 1.1921,                 1.1405,                 1.7252,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.2869,                  1.524,                 1.7804,                0.78272,                0.71444,                0.80438,                0.54903,                 1.1534,                 1.0921,                 1.7111,               0.009703,               0.009703,               0.009703
                     18,                 1.2717,                 1.4973,                 1.7682,                0.78513,                 0.7352,                0.81991,                0.56896,                 1.1215,                 1.0356,                 1.6792,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.2499,                 1.4429,                 1.7474,                  0.799,                0.75881,                0.83927,                0.58902,                 1.0922,                0.98584,                 1.6481,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.2371,                 1.4185,                 1.7379,                0.81316,                0.77292,                0.85629,                0.60974,                 1.0605,                0.93842,                 1.6231,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.2245,                 1.3827,                 1.7242,                0.83081,                0.78577,                 0.8744,                0.63168,                 1.0331,                0.88969,                 1.5902,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.2058,                 1.3505,                 1.7076,                0.84634,                0.80847,                0.89107,                0.65243,                0.99558,                0.84362,                 1.5549,               0.009604,               0.009604,               0.009604
                     23,                  1.191,                 1.3159,                 1.6915,                0.85793,                0.82597,                0.90558,                0.67402,                0.97024,                0.79148,                 1.5248,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1751,                 1.2821,                 1.6742,                0.86774,                0.83771,                 0.9162,                0.68885,                0.94183,                0.75644,                 1.4982,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.1576,                 1.2521,                 1.6632,                0.87678,                0.85434,                0.92676,                 0.7062,                0.91426,                0.71287,                  1.475,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.1375,                 1.2232,                 1.6436,                0.88756,                0.86818,                0.93714,                0.72441,                 0.8854,                0.66972,                 1.4453,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1282,                 1.1987,                 1.6329,                0.89677,                0.88055,                0.94471,                0.73779,                0.85899,                 0.6394,                 1.4213,               0.009505,               0.009505,               0.009505
                     28,                 1.1074,                 1.1678,                 1.6163,                0.90684,                0.88906,                0.95229,                0.75182,                0.83341,                0.60657,                 1.3951,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.1018,                 1.1472,                 1.6119,                0.91477,                 0.9013,                0.95749,                0.76315,                0.80958,                0.58083,                 1.3737,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.0805,                 1.1159,                 1.5903,                0.91837,                   0.91,                0.96203,                0.77518,                0.78454,                0.55102,                 1.3468,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0744,                 1.1001,                 1.5777,                0.92815,                 0.9181,                0.96678,                0.78687,                 0.7635,                0.52486,                 1.3225,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0539,                 1.0655,                 1.5625,                0.93213,                0.92792,                0.97077,                0.79763,                0.73986,                0.49767,                 1.2976,               0.009406,               0.009406,               0.009406
                     33,                 1.0448,                 1.0567,                 1.5545,                0.93779,                0.93243,                0.97327,                0.80573,                0.72236,                0.47837,                 1.2785,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.0241,                 1.0289,                 1.5323,                0.94107,                0.93899,                0.97535,                0.81394,                0.70333,                0.46129,                 1.2566,              0.0093664,              0.0093664,              0.0093664
